‐  hyphen
∫  integral
∬  double integral
∭  triple integral
∮  contour integral
∯  surface integral
∰  volume integral
∱  clockwise integral
∲  clockwise contour integral
∳  anticlockwise contour integral
∴  therefore
∵  because
∶  ratio
∷  proportion
∸  dot minus
∹  excess
∺  geometric proportion
∻  homothetic
∼  tilde operator
∽  reversed tilde
∾  inverted lazy s
∿  sine wave
≀  wreath product
≁  not tilde
≂  minus tilde
≃  asymptotically equal to
≄  not asymptotically equal to
≅  approximately equal to
≆  approximately but not actually equal to
≇  neither approximately nor actually equal to
≈  almost equal to
≉  not almost equal to
≊  almost equal or equal to
≋  triple tilde
≌  all equal to
≍  equivalent to
≎  geometrically equivalent to
≏  difference between
≐  approaches the limit
≑  geometrically equal to
≒  approximately equal to or the image of
≓  image of or approximately equal to
≔  colon equals
≕  equals colon
≖  ring in equal to
≗  ring equal to
≘  corresponds to
≙  estimates
≚  equiangular to
≛  star equals
≜  delta equal to
≝  equal to by definition
≞  measured by
≟  questioned equal to
≠  not equal to
≡  identical to
≢  not identical to
≣  strictly equivalent to
≤  less-than or equal to
≥  greater-than or equal to
≦  less-than over equal to
≧  greater-than over equal to
≨  less-than but not equal to
≩  greater-than but not equal to
≪  much less-than
≫  much greater-than
≬  between
≭  not equivalent to
≮  not less-than
≯  not greater-than
≰  neither less-than nor equal to
≱  neither greater-than nor equal to
≲  less-than or equivalent to
≳  greater-than or equivalent to
≴  neither less-than nor equivalent to
≵  neither greater-than nor equivalent to
≶  less-than or greater-than
≷  greater-than or less-than
≸  neither less-than nor greater-than
≹  neither greater-than nor less-than
≺  precedes
≻  succeeds
≼  precedes or equal to
≽  succeeds or equal to
≾  precedes or equivalent to
≿  succeeds or equivalent to
⊀  does not precede
⊁  does not succeed
⊂  subset of
⊃  superset of
⊄  not a subset of
⊅  not a superset of
⊆  subset of or equal to
⊇  superset of or equal to
⊈  neither a subset of nor equal to
⊉  neither a superset of nor equal to
⊊  subset of with not equal to
⊋  superset of with not equal to
⊌  multiset
⊍  multiset multiplication
⊎  multiset union
⊏  square image of
⊐  square original of
⊑  square image of or equal to
⊒  square original of or equal to
⊓  square cap
⊔  square cup
⊕  circled plus
⊖  circled minus
⊗  circled times
⊘  circled division slash
⊙  circled dot operator
⊚  circled ring operator
⊛  circled asterisk operator
⊜  circled equals
⊝  circled dash
⊞  squared plus
⊟  squared minus
⊠  squared times
⊡  squared dot operator
⊢  right tack
⊣  left tack
⊤  down tack
⊥  up tack
⊦  assertion
⊧  models
⊨  true
⊩  forces
⊪  triple vertical bar right turnstile
⊫  double vertical bar double right turnstile
⊬  does not prove
⊭  not true
⊮  does not force
⊯  negated double vertical bar double right turnstile
⊰  precedes under relation
⊱  succeeds under relation
⊲  normal subgroup of
⊳  contains as normal subgroup
⊴  normal subgroup of or equal to
⊵  contains as normal subgroup or equal to
⊶  original of
⊷  image of
⊸  multimap
⊹  hermitian conjugate matrix
⊺  intercalate
⊻  xor
⊼  nand
⊽  nor
⊾  right angle with arc
