‐  hyphen
⨆  n-ary square union operator
⨇  two logical and operator
⨈  two logical or operator
⨉  n-ary times operator
⨊  modulo two sum
⨋  summation with integral
⨌  quadruple integral operator
⨍  finite part integral
⨎  integral with double stroke
⨏  integral average with slash
⨐  circulation function
⨑  anticlockwise integration
⨒  line integration with rectangular path around pole
⨓  line integration with semicircular path around pole
⨔  line integration not including the pole
⨕  integral around a point operator
⨖  quaternion integral operator
⨗  integral with leftwards arrow with hook
⨘  integral with times sign
⨙  integral with intersection
⨚  integral with union
⨛  integral with overbar
⨜  integral with underbar
⨝  join
⨞  large left triangle operator
⨟  z notation schema composition
⨠  z notation schema piping
⨡  z notation schema projection
⨢  plus sign with small circle above
⨣  plus sign with circumflex accent above
⨤  plus sign with tilde above
⨥  plus sign with dot below
⨦  plus sign with tilde below
⨧  plus sign with subscript two
⨨  plus sign with black triangle
⨩  minus sign with comma above
⨪  minus sign with dot below
⨫  minus sign with falling dots
⨬  minus sign with rising dots
⨭  plus sign in left half circle
⨮  plus sign in right half circle
⨯  vector or cross product
⨰  multiplication sign with dot above
⨱  multiplication sign with underbar
⨲  semidirect product with bottom closed
⨳  smash product
⨴  multiplication sign in left half circle
⨵  multiplication sign in right half circle
⨶  circled multiplication sign with circumflex accent
⨷  multiplication sign in double circle
⨸  circled division sign
⨹  plus sign in triangle
⨺  minus sign in triangle
⨻  multiplication sign in triangle
⨼  interior product
⨽  righthand interior product
⨾  z notation relational composition
⨿  amalgamation or coproduct
⩀  intersection with dot
⩁  union with minus sign
⩂  union with overbar
⩃  intersection with overbar
⩄  intersection with logical and
⩅  union with logical or
⩆  union above intersection
⩇  intersection above union
⩈  union above bar above intersection
⩉  intersection above bar above union
⩊  union beside and joined with union
⩋  intersection beside and joined with intersection
⩌  closed union with serifs
⩍  closed intersection with serifs
⩎  double square intersection
⩏  double square union
⩐  closed union with serifs and smash product
⩑  logical and with dot above
⩒  logical or with dot above
⩓  double logical and
⩔  double logical or
⩕  two intersecting logical and
⩖  two intersecting logical or
⩗  sloping large or
⩘  sloping large and
⩙  logical or overlapping logical and
⩚  logical and with middle stem
⩛  logical or with middle stem
⩜  logical and with horizontal dash
⩝  logical or with horizontal dash
⩞  logical and with double overbar
⩟  logical and with underbar
⩠  logical and with double underbar
⩡  small vee with underbar
⩢  logical or with double overbar
⩣  logical or with double underbar
⩤  z notation domain antirestriction
⩥  z notation range antirestriction
⩦  equals sign with dot below
⩧  identical with dot above
⩨  triple horizontal bar with double vertical stroke
⩩  triple horizontal bar with triple vertical stroke
⩪  tilde operator with dot above
⩫  tilde operator with rising dots
⩬  similar minus similar
⩭  congruent with dot above
⩮  equals with asterisk
⩯  almost equal to with circumflex accent
⩰  approximately equal or equal to
⩱  equals sign above plus sign
⩲  plus sign above equals sign
⩳  equals sign above tilde operator
⩴  double colon equal
⩵  two consecutive equals signs
⩶  three consecutive equals signs
⩷  equals sign with two dots above and two dots below
⩸  equivalent with four dots above
⩹  less-than with circle inside
⩺  greater-than with circle inside
⩻  less-than with question mark above
⩼  greater-than with question mark above
⩽  less-than or slanted equal to
⩾  greater-than or slanted equal to
⩿  less-than or slanted equal to with dot inside
⪀  greater-than or slanted equal to with dot inside
⪁  less-than or slanted equal to with dot above
⪂  greater-than or slanted equal to with dot above
⪃  less-than or slanted equal to with dot above right
⪄  greater-than or slanted equal to with dot above left
⪅  less-than or approximate
⪆  greater-than or approximate
⪇  less-than and single-line not equal to
⪈  greater-than and single-line not equal to
⪉  less-than and not approximate
⪊  greater-than and not approximate
⪋  less-than above double-line equal above greater-than
⪌  greater-than above double-line equal above less-than
⪍  less-than above similar or equal
⪎  greater-than above similar or equal
⪏  less-than above similar above greater-than
⪐  greater-than above similar above less-than
⪑  less-than above greater-than above double-line equal
⪒  greater-than above less-than above double-line equal
⪓  less-than above slanted equal above greater-than above slanted equal
⪔  greater-than above slanted equal above less-than above slanted equal
⪕  slanted equal to or less-than
⪖  slanted equal to or greater-than
⪗  slanted equal to or less-than with dot inside
⪘  slanted equal to or greater-than with dot inside
⪙  double-line equal to or less-than
⪚  double-line equal to or greater-than
⪛  double-line slanted equal to or less-than
⪜  double-line slanted equal to or greater-than
⪝  similar or less-than
⪞  similar or greater-than
⪟  similar above less-than above equals sign
⪠  similar above greater-than above equals sign
⪡  double nested less-than
⪢  double nested greater-than
⪣  double nested less-than with underbar
⪤  greater-than overlapping less-than
⪥  greater-than beside less-than
⪦  less-than closed by curve
⪧  greater-than closed by curve
⪨  less-than closed by curve above slanted equal
⪩  greater-than closed by curve above slanted equal
⪪  smaller than
⪫  larger than
⪬  smaller than or equal to
⪭  larger than or equal to
⪮  equals sign with bumpy above
⪯  precedes above single-line equals sign
⪰  succeeds above single-line equals sign
⪱  precedes above single-line not equal to
⪲  succeeds above single-line not equal to
⪳  precedes above equals sign
⪴  succeeds above equals sign
⪵  precedes above not equal to
⪶  succeeds above not equal to
⪷  precedes above almost equal to
⪸  succeeds above almost equal to
⪹  precedes above not almost equal to
⪺  succeeds above not almost equal to
⪻  double precedes
⪼  double succeeds
⪽  subset with dot
⪾  superset with dot
⪿  subset with plus sign below
⫀  superset with plus sign below
⫁  subset with multiplication sign below
⫂  superset with multiplication sign below
⫃  subset of or equal to with dot above
⫄  superset of or equal to with dot above
⫅  subset of above equals sign
⫆  superset of above equals sign
⫇  subset of above tilde operator
⫈  superset of above tilde operator
⫉  subset of above almost equal to
⫊  superset of above almost equal to
⫋  subset of above not equal to
⫌  superset of above not equal to
⫍  square left open box operator
⫎  square right open box operator
⫏  closed subset
⫐  closed superset
⫑  closed subset or equal to
⫒  closed superset or equal to
⫓  subset above superset
⫔  superset above subset
⫕  subset above subset
⫖  superset above superset
⫗  superset beside subset
⫘  superset beside and joined by dash with subset
⫙  element of opening downwards
⫚  pitchfork with tee top
⫛  transversal intersection
⫝̸  forking
⫝  nonforking
⫞  short left tack
⫟  short down tack
⫠  short up tack
⫡  perpendicular with s
⫢  vertical bar triple right turnstile
⫣  double vertical bar left turnstile
⫤  vertical bar double left turnstile
⫥  double vertical bar double left turnstile
⫦  long dash from left member of double vertical
⫧  short down tack with overbar
⫨  short up tack with underbar
⫩  short up tack above short down tack
⫪  double down tack
⫫  double up tack
⫬  double stroke not sign
⫭  reversed double stroke not sign
⫮  does not divide with reversed negation slash
⫯  vertical line with circle above
⫰  vertical line with circle below
⫱  down tack with circle below
⫲  parallel with horizontal stroke
⫳  parallel with tilde operator
⫴  triple vertical bar binary relation
⫵  triple vertical bar with horizontal stroke
⫶  triple colon operator
⫷  triple nested less-than
⫸  triple nested greater-than
⫹  double-line slanted less-than or equal to
⫺  double-line slanted greater-than or equal to
⫻  triple solidus binary relation
⫼  large triple vertical bar operator
⫽  double solidus operator
⫾  white vertical bar
⫿  n-ary white vertical bar
⬀  north east white arrow
⬁  north west white arrow
⬂  south east white arrow
⬃  south west white arrow
⬄  left right white arrow
⬅  leftwards black arrow
⬆  upwards black arrow
⬇  downwards black arrow
⬈  north east black arrow
⬉  north west black arrow
⬊  south east black arrow
⬋  south west black arrow
⬌  left right black arrow
⬍  up down black arrow
⬎  rightwards arrow with tip downwards
⬏  rightwards arrow with tip upwards
⬐  leftwards arrow with tip downwards
⬑  leftwards arrow with tip upwards
⬒  square with top half black
⬓  square with bottom half black
⬔  square with upper right diagonal half black
⬕  square with lower left diagonal half black
⬖  diamond with left half black
⬗  diamond with right half black
⬘  diamond with top half black
⬙  diamond with bottom half black
⬚  dotted square
⬛  black large square
⬜  white large square
⬝  black very small square
⬞  white very small square
⬟  black pentagon
⬠  white pentagon
⬡  white hexagon
⬢  black hexagon
⬣  horizontal black hexagon
⬤  black large circle
⬥  black medium diamond
⬦  white medium diamond
⬧  black medium lozenge
⬨  white medium lozenge
⬩  black small diamond
⬪  black small lozenge
⬫  white small lozenge
⬬  black horizontal ellipse
⬭  white horizontal ellipse
⬮  black vertical ellipse
⬯  white vertical ellipse
⬰  left arrow with small circle
⬱  three leftwards arrows
⬲  left arrow with circled plus
⬳  long leftwards squiggle arrow
⬴  leftwards two-headed arrow with vertical stroke
⬵  leftwards two-headed arrow with double vertical stroke
⬶  leftwards two-headed arrow from bar
⬷  leftwards two-headed triple dash arrow
⬸  leftwards arrow with dotted stem
⬹  leftwards arrow with tail with vertical stroke
⬺  leftwards arrow with tail with double vertical stroke
⬻  leftwards two-headed arrow with tail
⬼  leftwards two-headed arrow with tail with vertical stroke
⬽  leftwards two-headed arrow with tail with double vertical stroke
⬾  leftwards arrow through x
⬿  wave arrow pointing directly left
⭀  equals sign above leftwards arrow
⭁  reverse tilde operator above leftwards arrow
⭂  leftwards arrow above reverse almost equal to
⭃  rightwards arrow through greater-than
⭄  rightwards arrow through superset
⭅  leftwards quadruple arrow
⭆  rightwards quadruple arrow
⭇  reverse tilde operator above rightwards arrow
⭈  rightwards arrow above reverse almost equal to
⭉  tilde operator above leftwards arrow
⭊  leftwards arrow above almost equal to
⭋  leftwards arrow above reverse tilde operator
⭌  rightwards arrow above reverse tilde operator
⭍  downwards triangle-headed zigzag arrow
⭎  short slanted north arrow
⭏  short backslanted south arrow
⭐  white medium star
⭑  black small star
⭒  white small star
⭓  black right-pointing pentagon
⭔  white right-pointing pentagon
⭕  heavy large circle
⭖  heavy oval with oval inside
⭗  heavy circle with circle inside
⭘  heavy circle
⭙  heavy circled saltire
⭚  slanted north arrow with hooked head
⭛  backslanted south arrow with hooked tail
⭜  slanted north arrow with horizontal tail
⭝  backslanted south arrow with horizontal tail
⭞  bent arrow pointing downwards then north east
⭟  short bent arrow pointing downwards then north east
⭠  leftwards triangle-headed arrow
⭡  upwards triangle-headed arrow
⭢  rightwards triangle-headed arrow
⭣  downwards triangle-headed arrow
⭤  left right triangle-headed arrow
⭥  up down triangle-headed arrow
⭦  north west triangle-headed arrow
⭧  north east triangle-headed arrow
⭨  south east triangle-headed arrow
⭩  south west triangle-headed arrow
⭪  leftwards triangle-headed dashed arrow
⭫  upwards triangle-headed dashed arrow
⭬  rightwards triangle-headed dashed arrow
⭭  downwards triangle-headed dashed arrow
⭮  clockwise triangle-headed open circle arrow
⭯  anticlockwise triangle-headed open circle arrow
⭰  leftwards triangle-headed arrow to bar
⭱  upwards triangle-headed arrow to bar
⭲  rightwards triangle-headed arrow to bar
⭳  downwards triangle-headed arrow to bar
⭶  north west triangle-headed arrow to bar
⭷  north east triangle-headed arrow to bar
⭸  south east triangle-headed arrow to bar
⭹  south west triangle-headed arrow to bar
⭺  leftwards triangle-headed arrow with double horizontal stroke
⭻  upwards triangle-headed arrow with double horizontal stroke
⭼  rightwards triangle-headed arrow with double horizontal stroke
⭽  downwards triangle-headed arrow with double horizontal stroke
⭾  horizontal tab key
⭿  vertical tab key
⮀  leftwards triangle-headed arrow over rightwards triangle-headed arrow
⮁  upwards triangle-headed arrow leftwards of downwards triangle-headed arrow
⮂  rightwards triangle-headed arrow over leftwards triangle-headed arrow
⮃  downwards triangle-headed arrow leftwards of upwards triangle-headed arrow
⮄  leftwards triangle-headed paired arrows
⮅  upwards triangle-headed paired arrows
⮆  rightwards triangle-headed paired arrows
⮇  downwards triangle-headed paired arrows
⮈  leftwards black circled white arrow
⮉  upwards black circled white arrow
⮊  rightwards black circled white arrow
⮋  downwards black circled white arrow
⮌  anticlockwise triangle-headed right u-shaped arrow
⮍  anticlockwise triangle-headed bottom u-shaped arrow
⮎  anticlockwise triangle-headed left u-shaped arrow
⮏  anticlockwise triangle-headed top u-shaped arrow
⮐  return left
⮑  return right
⮒  newline left
⮓  newline right
⮔  four corner arrows circling anticlockwise
⮕  rightwards black arrow
⮗  symbol for type a electronics
⮘  three-d top-lighted leftwards equilateral arrowhead
⮙  three-d right-lighted upwards equilateral arrowhead
⮚  three-d top-lighted rightwards equilateral arrowhead
⮛  three-d left-lighted downwards equilateral arrowhead
⮜  black leftwards equilateral arrowhead
⮝  black upwards equilateral arrowhead
⮞  black rightwards equilateral arrowhead
⮟  black downwards equilateral arrowhead
⮠  downwards triangle-headed arrow with long tip leftwards
⮡  downwards triangle-headed arrow with long tip rightwards
⮢  upwards triangle-headed arrow with long tip leftwards
⮣  upwards triangle-headed arrow with long tip rightwards
⮤  leftwards triangle-headed arrow with long tip upwards
⮥  rightwards triangle-headed arrow with long tip upwards
⮦  leftwards triangle-headed arrow with long tip downwards
⮧  rightwards triangle-headed arrow with long tip downwards
⮨  black curved downwards and leftwards arrow
⮩  black curved downwards and rightwards arrow
⮪  black curved upwards and leftwards arrow
⮫  black curved upwards and rightwards arrow
⮬  black curved leftwards and upwards arrow
⮭  black curved rightwards and upwards arrow
⮮  black curved leftwards and downwards arrow
⮯  black curved rightwards and downwards arrow
⮰  ribbon arrow down left
⮱  ribbon arrow down right
⮲  ribbon arrow up left
⮳  ribbon arrow up right
⮴  ribbon arrow left up
⮵  ribbon arrow right up
⮶  ribbon arrow left down
⮷  ribbon arrow right down
⮸  upwards white arrow from bar with horizontal bar
⮹  up arrowhead in a rectangle box
⮺  overlapping white squares
⮻  overlapping white and black squares
⮼  overlapping black squares
⮽  ballot box with light x
⮾  circled x
⮿  circled bold x
⯀  black square centred
⯁  black diamond centred
⯂  turned black pentagon
⯃  horizontal black octagon
⯄  black octagon
⯅  black medium up-pointing triangle centred
⯆  black medium down-pointing triangle centred
⯇  black medium left-pointing triangle centred
⯈  black medium right-pointing triangle centred
⯉  neptune form two
⯊  top half black circle
⯋  bottom half black circle
⯌  light four pointed black cusp
⯍  rotated light four pointed black cusp
⯎  white four pointed cusp
⯏  rotated white four pointed cusp
⯐  square position indicator
⯑  uncertainty sign
⯒  group mark
⯓  pluto form two
⯔  pluto form three
⯕  pluto form four
⯖  pluto form five
⯗  transpluto
⯘  proserpina
⯙  astraea
⯚  hygiea
⯛  pholus
⯜  nessus
⯝  white moon selena
⯞  black diamond on cross
⯟  true light moon arta
⯠  cupido
⯡  hades
⯢  zeus
⯣  kronos
⯤  apollon
⯥  admetos
⯦  vulcanus
⯧  poseidon
⯨  left half black star
⯩  right half black star
⯪  star with left half black
⯫  star with right half black
⯬  leftwards two-headed arrow with triangle arrowheads
⯭  upwards two-headed arrow with triangle arrowheads
⯮  rightwards two-headed arrow with triangle arrowheads
⯯  downwards two-headed arrow with triangle arrowheads
⯰  eris form one
⯱  eris form two
⯲  sedna
⯳  russian astrological symbol vigintile
⯴  russian astrological symbol novile
⯵  russian astrological symbol quintile
⯶  russian astrological symbol binovile
⯷  russian astrological symbol sentagon
⯸  russian astrological symbol tredecile
⯹  equals sign with infinity below
⯺  united symbol
⯻  separated symbol
⯼  doubled symbol
⯽  passed symbol
⯾  reversed right angle
⯿  hellschreiber pause symbol
🨀  neutral chess king
🨁  neutral chess queen
🨂  neutral chess rook
🨃  neutral chess bishop
🨄  neutral chess knight
🨅  neutral chess pawn
🨆  white chess knight rotated forty-five degrees
🨇  black chess knight rotated forty-five degrees
🨈  neutral chess knight rotated forty-five degrees
🨉  white chess king rotated ninety degrees
🨊  white chess queen rotated ninety degrees
🨋  white chess rook rotated ninety degrees
🨌  white chess bishop rotated ninety degrees
🨍  white chess knight rotated ninety degrees
🨎  white chess pawn rotated ninety degrees
🨏  black chess king rotated ninety degrees
🨐  black chess queen rotated ninety degrees
🨑  black chess rook rotated ninety degrees
🨒  black chess bishop rotated ninety degrees
🨓  black chess knight rotated ninety degrees
🨔  black chess pawn rotated ninety degrees
🨕  neutral chess king rotated ninety degrees
🨖  neutral chess queen rotated ninety degrees
🨗  neutral chess rook rotated ninety degrees
🨘  neutral chess bishop rotated ninety degrees
🨙  neutral chess knight rotated ninety degrees
🨚  neutral chess pawn rotated ninety degrees
🨛  white chess knight rotated one hundred thirty-five degrees
🨜  black chess knight rotated one hundred thirty-five degrees
🨝  neutral chess knight rotated one hundred thirty-five degrees
🨞  white chess turned king
🨟  white chess turned queen
🨠  white chess turned rook
🨡  white chess turned bishop
🨢  white chess turned knight
🨣  white chess turned pawn
🨤  black chess turned king
🨥  black chess turned queen
🨦  black chess turned rook
🨧  black chess turned bishop
🨨  black chess turned knight
🨩  black chess turned pawn
🨪  neutral chess turned king
🨫  neutral chess turned queen
🨬  neutral chess turned rook
🨭  neutral chess turned bishop
🨮  neutral chess turned knight
🨯  neutral chess turned pawn
🨰  white chess knight rotated two hundred twenty-five degrees
🨱  black chess knight rotated two hundred twenty-five degrees
🨲  neutral chess knight rotated two hundred twenty-five degrees
🨳  white chess king rotated two hundred seventy degrees
🨴  white chess queen rotated two hundred seventy degrees
🨵  white chess rook rotated two hundred seventy degrees
🨶  white chess bishop rotated two hundred seventy degrees
🨷  white chess knight rotated two hundred seventy degrees
🨸  white chess pawn rotated two hundred seventy degrees
🨹  black chess king rotated two hundred seventy degrees
🨺  black chess queen rotated two hundred seventy degrees
🨻  black chess rook rotated two hundred seventy degrees
🨼  black chess bishop rotated two hundred seventy degrees
🨽  black chess knight rotated two hundred seventy degrees
🨾  black chess pawn rotated two hundred seventy degrees
🨿  neutral chess king rotated two hundred seventy degrees
🩀  neutral chess queen rotated two hundred seventy degrees
🩁  neutral chess rook rotated two hundred seventy degrees
🩂  neutral chess bishop rotated two hundred seventy degrees
🩃  neutral chess knight rotated two hundred seventy degrees
🩄  neutral chess pawn rotated two hundred seventy degrees
🩅  white chess knight rotated three hundred fifteen degrees
🩆  black chess knight rotated three hundred fifteen degrees
🩇  neutral chess knight rotated three hundred fifteen degrees
🩈  white chess equihopper
🩉  black chess equihopper
🩊  neutral chess equihopper
🩋  white chess equihopper rotated ninety degrees
🩌  black chess equihopper rotated ninety degrees
🩍  neutral chess equihopper rotated ninety degrees
🩎  white chess knight-queen
🩏  white chess knight-rook
🩐  white chess knight-bishop
🩑  black chess knight-queen
🩒  black chess knight-rook
🩓  black chess knight-bishop
🩠  xiangqi red general
🩡  xiangqi red mandarin
🩢  xiangqi red elephant
🩣  xiangqi red horse
🩤  xiangqi red chariot
🩥  xiangqi red cannon
🩦  xiangqi red soldier
🩧  xiangqi black general
🩨  xiangqi black mandarin
🩩  xiangqi black elephant
🩪  xiangqi black horse
🩫  xiangqi black chariot
🩬  xiangqi black cannon
🩭  xiangqi black soldier
